"FeHab";"Atroph";"es";"ogp";"ml";"Repro";"HabSp";"ReproB";"PC";"avg_fecun";"female_mat";"WQO2";"Temp";"HTOL";"Hab";"be";"Mig";"bls";"pfp";"pfs";"pfsi";"cpt";"cfar";"fsr";"rfs"
"WC";"INSV";0.412069770635902;0.456113171267683;0.783760472462574;"LITH";"RHPAR";"SIN";"NOP";"2";"2";"O2INTOL";"STTHER";"HIM";"RH";4.36185418529566;"POTAD";0.621241493232128;0.163855536822274;0.201253828691173;0.167256375427219;2.99975865605903;2.28636165226994;0.216196319018405;0.172053034690987
"WC";"INSV-PISC";0.392577778902868;0.50644254866719;0.546616712654735;"PHLI";"EUPAR";"SIN";"NOP";"3";"2";"O2IM";"EUTHER";"HTOL";"EURY";3.39136472842918;"RESID";0.548599441720944;0.291638312941797;0.551767281826713;0.178178311397941;3.19412934159747;2.19851458505246;0.376871389838501;0.166057661434474
"WC";"OMNI";0.46969696969697;0.674284090909091;0.285878787878788;"PHLI";"EUPAR";"FR";"PROT";"1";"1";"O2TOL";"EUTHER";"HTOL";"EURY";4.74564874440738;"RESID";0.568960612408514;0.245726329945432;0.461340158415842;0.145461398728429;2.34488049165209;1.86773567485173;0.177785488958991;0.182707521681063
"WC";"OMNI";0.509007616935411;0.418113399625516;0.37828355360032;"OSTRA";"LIPAR";"FR";"PROT";"1";"1";"O2IM";"EUTHER";"HINTOL";"LIMNO";2.46889648824437;"RESID";0.335320544471469;0.109723314375583;0.369441277080958;0.135593304034369;2.31925531914894;1.68468595278605;0.124344250673472;0.119350194366036
"WC";"OMNI";0.495975923498859;0.436978787437503;0.415533226542401;"PHLI";"EUPAR";"SIN";"NOP";"3";"3";"O2TOL";"EUTHER";"HTOL";"EURY";3.17656700966244;"POTAD";0.40392850420379;0.15298735725938;0.434861191142857;0.161648046416888;3.81678451050457;3.86921708256216;0.149260096379377;0.130459894476133
"B";"INSV";0.255084507042254;0.253521126760563;0.543676056338028;"SPEL";"EUPAR";"FR";"PROT";"1";"1";"O2IM";"EUTHER";"HIM";"LIMNO";4.69645544554455;"RESID";0.702970297029703;0.534742574257426;0.786669924757281;0.189361262548963;2.39902952247064;1.69967555481324;0.5630124506529;0.21486773694762
"WC";"INSV-PISC";0.309869710596103;0.617625581305969;0.788827395364926;"LITH";"RHPAR";"SIN";"NOP";"1";"2";"O2INTOL";"STTHER";"HINTOL";"RH";4.25340407850157;"POTAD";0.41582496963498;0.127852713673848;0.213511259382819;0.126765961284117;2.71496174428376;2.29261538798479;0.182357414448669;0.116704560794684
"WC";"INSV-PISC";0.271921287346514;0.480701801165224;0.747663551401869;"LITH";"RHPAR";"SIN";"NOP";"2";"4";"O2INTOL";"STTHER";"HINTOL";"RH";4.25603231654951;"LMA";0.477158942714463;0.178122713826776;0.269415807560137;0.168286182769903;2.86544230769231;2.15009626273484;0.281812899477048;0.125856133513467
"WC";"PLAN";0.304118434923432;0.525083901589419;0.885374386970936;"LITH";"RHPAR";"SIN";"NOP";"2";"2";"O2INTOL";"STTHER";"HINTOL";"LIMNO";4.11583975681251;"RESID";0.463436911443312;0.170042435084705;0.273134138595107;0.162007585271224;2.84929518511517;2.30591943248281;0.246028971998913;0.130263300125479
"WC";"PISC";0.49333276711398;0.46704603363343;0.653749787667743;"PHLI";"EUPAR";"SIN";"PROT";"4";"3";"O2IM";"EUTHER";"HIM";"EURY";4.43627407365467;"POTAD";0.380940055487701;0.310812013168218;0.637271245576176;0.146019498195861;3.38825878429839;2.94925503700882;0.252204201589202;0.169658545637703
"WC";"OMNI";0.411987001338098;0.558766009381387;0.277442028026527;"PHYT";"LIPAR";"FR";"NOP";"3";"3";"O2TOL";"EUTHER";"HIM";"LIMNO";2.79246796279059;"RESID";0.398127821001423;0.199131234010666;NA;NA;3.33777012214219;3.24992404157818;NA;NA
"B";"PISC";0.210233363568896;0.457738929661087;0.379009647893131;"PHYT";"EUPAR";"SIN";"PROT";"4";"2";"O2IM";"EUTHER";"HTOL";"EURY";5.83994642028435;"RESID";0.511623001307851;0.358140319790744;NA;0.106003825196813;2.20006798610062;1.46626879904927;NA;NA
"WC";"OMNI";0.359761796092239;0.543456999413184;0.462063419617048;"LITH";"RHPAR";"FR";"NOP";"3";"3";"O2IM";"EUTHER";"HTOL";"RH";3.62949549663035;"POTAD";0.362245701328966;0.220586382817913;0.622035122028526;0.172295685069978;2.6003;2.65200819344211;0.197991841857546;0.130407567567787
"B";"INSV";0.4;0.483616666666667;0.476683333333333;"LITH";"RHPAR";"SIN";"NOP";"2";"2";"O2INTOL";"EUTHER";"HINTOL";"RH";4.85054516811078;"RESID";0.621864765142407;0.124372953028481;NA;0.158638888888889;2.96659725589754;2.09004830917874;NA;NA
"WC";"INSV";0.432042982722915;0.698903708852877;0.540701800118753;"LITH";"RHPAR";"SIN";"PROT";"2";"3";"O2INTOL";"STTHER";"HINTOL";"RH";4.86037982889903;"POTAD";0.438881614908411;0.16719844407439;0.226219560640732;0.161065145553241;3.63274509803922;2.4994518968907;0.222748124954489;0.139568383176871
"B";"OMNI";0.206454499612929;0.498980831102052;0.359415060972578;"PHYT";"LIPAR";"FR";"NOP";"4";"3";"O2TOL";"EUTHER";"HINTOL";"LIMNO";2.78255324533479;"RESID";0.468855308549889;0.148917111765254;0.406580166903842;0.185072694265237;1.51489767475977;1.53196568766612;0.176675526183464;0.130550897830989
